run_uid,configuration_uid,stress_max_producers,stress_expected_throughput_gbps,stress_min_throughput,stress_max_throughput,num_consumers,number_of_partitions,soak_num_producers,soak_expected_throughput_gbps,soak_min_throughput,soak_max_throughput,soak_average_throughput
run_2DAB8C,907B73,12,7.199999999999999,2.947359440000045,6.6609537607980585,7,3,10,6.0,5.393689768158825,6.20985003919833,5.763760499713062
run_2DAB8C,7EFAA8,13,7.8,2.9971657272000494,7.675616582398643,4,9,11,6.6,6.3375523345582545,6.684606600638096,6.555720489903603
run_2DAB8C,A6EA97,14,8.4,2.9983821568000586,7.967865744798842,4,18,11,6.6,6.207498256798357,7.010336703358238,6.6461683433856225
run_2DAB8C,B7FD48,14,8.4,2.9971561512000426,7.639595015998614,1,18,13,7.8,7.225575184798349,7.561712067678565,7.4126795584584695
run_2DAB8C,D16925,13,7.8,3.000152195200043,7.4379768623984805,1,9,12,7.199999999999999,6.848387257598141,7.079159015678252,6.968813398958201
run_2DAB8C,91AE83,14,8.4,3.000149459200043,8.1004032479989,1,3,13,7.8,6.776137920798172,7.121154940798276,6.886018341298202
run_2DAB8C,0971FD,12,7.199999999999999,2.9947802920000477,6.55598533439814,7,9,10,6.0,5.530773090878748,6.164885047038375,5.843852677271182
run_2DAB8C,8CAF67,14,8.4,2.9989548720000445,7.581392600798574,4,3,12,7.199999999999999,6.623021283518164,7.398859556318458,7.124162276913301
run_2DAB8C,186322,13,7.8,2.9960097176000615,7.057058796798287,7,18,10,6.0,5.616156315518735,6.185101728318389,5.97671894725185
